date,series_id,cost,orders,impressions,clicks
2021-02-17,Sparklight|Paid Search|Brand,4206.106094554215,22.09,13403.119999999999,3621.7
2021-02-17,Sparklight|Paid Search|Nonbrand CableOne FP,1751.49896198171,3.0,2200.0,158.0
2021-02-17,Sparklight|Paid Search|Nonbrand NewWave FP,3286.25566013942,7.0,2947.0,443.0
2021-02-17,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,62784.0,131.0
2021-02-17,Sparklight|Paid Social|NewWave FP,586.475013206806,1.0,54798.0,116.0
2021-02-18,Cable One|Paid Search|Brand,967.633523121206,19.0,3816.0,796.0
2021-02-18,NewWave|Paid Search|Brand,1147.9818174079562,8.91,5060.88,1181.07
2021-02-18,Sparklight|Paid Search|Brand,4093.706855805304,20.09,13534.119999999999,3621.9300000000003
2021-02-18,Sparklight|Paid Search|Nonbrand CableOne FP,1647.38755937902,3.0,2094.0,150.0
2021-02-18,Sparklight|Paid Search|Nonbrand NewWave FP,2583.05330186237,3.0,2947.0,354.0
2021-02-18,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,61635.0,128.0
2021-02-18,Sparklight|Paid Social|NewWave FP,588.618157750042,1.0,52985.0,124.0
2021-02-19,Cable One|Paid Search|Brand,967.633523121206,18.0,3903.0,816.0
2021-02-19,NewWave|Paid Search|Brand,1252.9227100942232,9.9,5527.17,1293.93
2021-02-19,Sparklight|Paid Search|Brand,4381.857217194397,24.1,13917.83,3623.0699999999997
2021-02-19,Sparklight|Paid Search|Nonbrand CableOne FP,1363.70793194746,2.0,1823.0,130.0
2021-02-19,Sparklight|Paid Search|Nonbrand NewWave FP,2556.60576242852,3.0,2906.0,350.0
2021-02-19,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,61635.0,123.0
2021-02-19,Sparklight|Paid Social|NewWave FP,590.783192062604,2.0,53110.0,112.0
2021-02-20,Cable One|Paid Search|Brand,425.957374428035,16.0,2917.0,535.0
2021-02-20,NewWave|Paid Search|Brand,1161.2062144319966,8.91,5481.63,1138.5
2021-02-20,Sparklight|Paid Search|Brand,2871.976022590583,15.09,12289.369999999999,3196.5
2021-02-20,Sparklight|Paid Search|Nonbrand CableOne FP,1238.07316142043,1.0,1750.0,123.0
2021-02-20,Sparklight|Paid Search|Nonbrand NewWave FP,2346.68866688675,2.0,2906.0,326.0
2021-02-20,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,62252.0,133.0
2021-02-20,Sparklight|Paid Social|NewWave FP,603.309462013856,2.0,61370.0,154.0
2021-02-21,Cable One|Paid Search|Brand,396.381954984206,15.0,2925.0,533.0
2021-02-21,NewWave|Paid Search|Brand,973.8522897034071,7.92,4805.46,971.1899999999999
2021-02-21,Sparklight|Paid Search|Brand,3024.440932193326,17.08,12282.54,3232.81
2021-02-21,Sparklight|Paid Search|Nonbrand CableOne FP,1366.38273423001,2.0,1860.0,133.0
2021-02-21,Sparklight|Paid Search|Nonbrand NewWave FP,2343.79560123566,2.0,2869.0,325.0
2021-02-21,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,64675.0,137.0
2021-02-21,Sparklight|Paid Social|NewWave FP,564.558540244821,2.0,55052.0,122.0
2021-02-22,Cable One|Paid Search|Brand,1008.07362601205,20.0,3638.0,759.0
2021-02-22,NewWave|Paid Search|Brand,933.7776486678813,7.92,4070.88,937.53
2021-02-22,Sparklight|Paid Search|Brand,3601.731457650222,25.08,12591.119999999999,3424.4700000000003
2021-02-22,Sparklight|Paid Search|Nonbrand CableOne FP,1647.38755937902,3.0,2114.0,151.0
2021-02-22,Sparklight|Paid Search|Nonbrand NewWave FP,2082.30697507954,2.0,2874.0,292.0
2021-02-22,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,65767.0,124.0
2021-02-22,Sparklight|Paid Social|NewWave FP,550.186047421804,1.0,53148.0,120.0
2021-02-23,Cable One|Paid Search|Brand,979.507157244192,19.0,3648.0,757.0
2021-02-23,NewWave|Paid Search|Brand,927.1978945019208,7.92,4101.57,943.47
2021-02-23,Sparklight|Paid Search|Brand,3380.1188421032793,23.08,12591.43,3424.5299999999997
2021-02-23,Sparklight|Paid Search|Nonbrand CableOne FP,1647.38755937902,3.0,2105.0,151.0
2021-02-23,Sparklight|Paid Search|Nonbrand NewWave FP,2282.76011496916,2.0,2947.0,316.0
2021-02-23,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,62511.0,124.0
2021-02-23,Sparklight|Paid Social|NewWave FP,521.142246324602,2.0,52118.0,103.0
2021-02-24,Cable One|Paid Search|Brand,967.633523121206,18.0,3703.0,768.0
2021-02-24,NewWave|Paid Search|Brand,1250.1030144043486,9.9,5421.24,1264.23
2021-02-24,Sparklight|Paid Search|Brand,4588.369355805031,27.1,13407.76,3611.77
2021-02-24,Sparklight|Paid Search|Nonbrand CableOne FP,1751.49896198171,3.0,2193.0,159.0
2021-02-24,Sparklight|Paid Search|Nonbrand NewWave FP,2349.94482984628,2.0,2947.0,324.0
2021-02-24,Sparklight|Paid Social|CableOne FP,728.792177661314,2.0,61694.0,117.0
2021-02-24,Sparklight|Paid Social|NewWave FP,555.051204060636,2.0,53045.0,120.0
2021-02-25,Cable One|Paid Search|Brand,967.633523121206,18.0,3790.0,788.0
2021-02-25,NewWave|Paid Search|Brand,1180.9085071891734,8.91,5207.4,1209.78
2021-02-25,Sparklight|Paid Search|Brand,4397.381724965067,24.09,13535.6,3611.2200000000003
2021-02-25,Sparklight|Paid Search|Nonbrand CableOne FP,1647.38755937902,3.0,2088.0,151.0
